day_total,day_nm,diary_index
0.0,5,202
1.0,6,202
25.84,7,202
21.21,1,203
63.26,2,203
147.56,3,203
0.0,4,203
0.0,5,203
0.0,6,203
0.0,7,203
27.53,1,204
7.62,2,204
48.08,3,204
130.99,4,204
31.21,5,204
488.82,6,204
204.42,7,204
51.2,1,205
39.03,2,205
0.0,3,205
0.0,4,205
24.0,5,205
0.0,6,205
0.0,7,205
182.28,1,206
317.0,2,206
118.81,3,206
55.0,4,206
79.12,5,206
136.97,6,206
73.83,7,206
87.45,1,207
29.0,2,207
0.0,3,207
399.49,4,207
68.38,5,207
5.5,6,207
30.0,7,207
144.0,1,208
16.0,2,208
118.0,3,208
110.5,4,208
44.0,5,208
215.0,6,208
8.0,7,208
0.0,1,209
0.0,2,209
122.0,3,209
0.0,4,209
64.0,5,209
98.0,6,209
55.0,7,209
134.19,1,210
92.55,2,210
0.0,3,210
21.61,4,210
0.0,5,210
9.76,6,210
14.45,7,210
34.85,1,211
0.0,2,211
28.85,3,211
60.5,4,211
54.16,5,211
20.34,6,211
0.0,7,211
101.13,1,212
48.97,2,212
288.93,3,212
13.47,4,212
28.47,5,212
185.94,6,212
7.85,7,212
145.0,1,213
105.56,2,213
0.0,3,213
4.0,4,213
172.0,5,213
34.0,6,213
46.33,7,213
120.84,1,214
17.29,2,214
24.62,3,214
34.25,4,214
6.41,5,214
0.0,6,214
91.02,7,214
40.5,1,215
20.0,2,215
117.0,3,215
21.0,4,215
0.0,5,215
44.0,6,215
42.25,7,215
41.4,1,216
31.4,2,216
50.4,3,216
95.4,4,216
50.0,5,216
60.0,6,216
12.0,7,216
44.9,1,217
20.19,2,217
11.59,3,217
68.08,4,217
9.28,5,217
46.4,6,217
0.0,7,217
143.52,1,218
1.0,2,218
0.5,3,218
0.0,4,218
0.0,5,218
0.0,6,218
23.77,7,218
284.45,1,219
22.99,2,219
39.93,3,219
201.98,4,219
11.67,5,219
73.88,6,219
115.52,7,219
111.36,1,220
400.0,2,220
448.49,3,220
50.78,4,220
122.0,5,220
64.0,6,220
57.06,7,220
60.07,1,221
44.52,2,221
115.0,3,221
0.0,4,221
46.91,5,221
93.43,6,221
112.84,7,221
30.0,1,222
314.4,2,222
42.76,3,222
300.0,4,222
3.0,5,222
0.0,6,222
24.3,7,222
125.5,1,223
79.47,2,223
114.04,3,223
43.41,4,223
6.8,5,223
21.69,6,223
28.5,7,223
270.39,1,224
35.0,2,224
26.91,3,224
1.62,4,224
27.34,5,224
20.0,6,224
10.19,7,224
87.63,1,225
7.0,2,225
34.12,3,225
74.43,4,225
23.45,5,225
218.36,6,225
7.0,7,225
18.47,1,226
52.45,2,226
0.0,3,226
0.0,4,226
24.3,5,226
8.37,6,226
53.5,7,226
20.0,1,227
157.0,2,227
90.0,3,227
104.0,4,227
201.0,5,227
12.0,6,227
121.0,7,227
