index,salary,location,url
0,37100.0,"Dublin, Ireland",https://www.refinery29.com/money-diary-dublin-ireland-digital-marketing-account-manager-salary
1,85000.0,"Las Vegas, NV",https://www.refinery29.com/money-diary-las-vegas-vice-president-salary
2,919216.0,Singapore,https://www.refinery29.com/money-diary-singapore-consultant-salary
3,65000.0,"Boise, ID",https://www.refinery29.com/money-diary-boise-id-sales-manager-salary
4,36400.0,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-stylist-salary
5,25000.0,"Daejeon, South Korea",https://www.refinery29.com/money-diary-daejeon-south-korea-guest-english-teacher-salary
6,165000.0,"Central Valley, CA",https://www.refinery29.com/money-diary-central-valley-california-part-time-attorney-salary
7,106000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-program-director-salary
8,79000.0,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-marketing-data-analyst-salary
9,50000.0,"Salt Lake City, UT",https://www.refinery29.com/money-diary-salt-lake-city-graphic-designer-salary
10,38000.0,"Norman, OK",https://www.refinery29.com/money-diary-norman-oklahoma-assistant-director-salary
11,135000.0,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-video-editor-salary
12,121000.0,"Conroe, TX",https://www.refinery29.com/money-diary-conroe-tx-teacher-salary
13,165000.0,"St. Paul, MN",https://www.refinery29.com/money-diary-st-paul-mn-corporate-accounting-manager-salary
14,99000.0,New York City,https://www.refinery29.com/money-diary-new-york-new-york-senior-analyst-salary
15,65000.0,"Petaluma, CA",https://www.refinery29.com/money-diary-petaluma-ca-digital-marketing-specialist-salary
16,31200.0,Upstate New York,https://www.refinery29.com/money-diary-upstate-new-york-program-manager-salary
17,91972.0,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-doctor-salary
18,77088.0,Singapore,https://www.refinery29.com/money-diary-singapore-partner-manager-salary
19,114500.0,"San Francisco, CA",https://www.refinery29.com/money-diary-san-francisco-bay-area-gameplay-engineer-salary
20,32084.0,New York City,https://www.refinery29.com/money-diary-new-york-city-project-coordinator-salary
21,38000.0,"Detroit, MI",https://www.refinery29.com/money-diary-detroit-michigan-copywriter-salary
22,60000.0,Southern New Hampshire,https://www.refinery29.com/money-diary-southern-new-hampshire-registered-nurse-salary
23,42000.0,"Chicago, IL",https://www.refinery29.com/money-diary-chicago-il-copywriter-salary
24,39500.0,"Vancouver, BC",https://www.refinery29.com/money-diary-vancouver-bc-key-account-specialist-salary
25,47000.0,"Boston, MA",https://www.refinery29.com/money-diary-boston-ma-communication-specialist-salary
26,70000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-programmer-salary
27,32780.0,"Niigata, Japan",https://www.refinery29.com/money-diary-niigata-japan-assistant-language-teacher-salary
28,112500.0,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-human-resources-manager-salary
29,37000.0,"New Orleans, LA",https://www.refinery29.com/money-diary-new-orleans-la-associate-clinical-research-coordinator-salary
30,55000.0,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-office-manager-salary
31,43500.0,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-washington-environmental-specialist-salary
32,62000.0,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-graphic-designer-salary
33,40000.0,"Washington, D.C.",https://www.refinery29.com/money-diary-washington-dc-staff-assistant-salary
34,115000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-entrepreneur-salary
35,65000.0,"Hamburg, Germany",https://www.refinery29.com/money-diary-hamburg-clinical-project-manager-salary
36,92000.0,"Bentonville, AR",https://www.refinery29.com/money-diary-bentonville-ar-project-manager-managing-director-salary
37,50000.0,"Las Vegas, NV",https://www.refinery29.com/money-diary-las-vegas-nv-gaming-analyst-salary
38,260000.0,"San Diego, CA",https://www.refinery29.com/money-diary-san-diego-ca-materials-engineer-salary
39,55000.0,"Hoboken, NJ",https://www.refinery29.com/money-diary-hoboken-nj-media-strategist-salary
40,36960.0,"Dubai, United Arab Emirates",https://www.refinery29.com/money-diary-dubai-united-arab-emirates-social-studies-teacher-salary
41,111000.0,"Buffalo, NY",https://www.refinery29.com/money-diary-buffalo-ny-adminsales-support-salary
42,96925.0,"Melbourne, Australia",https://www.refinery29.com/money-diary-melbourne-australia-police-call-taker-salary
43,44000.0,"Baltimore, MD",https://www.refinery29.com/money-diary-baltimore-program-associate-salary
44,55000.0,"Atlanta, GA",https://www.refinery29.com/money-diary-atlanta-ga-paralegal-salary
45,46000.0,"Los Angeles, CA",https://www.refinery29.com/money-diary-los-angeles-ca-marketing-coordinator-salary
46,45000.0,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-tx-social-media-assistant-salary
47,52000.0,"Seattle, WA",https://www.refinery29.com/money-diary-seattle-wa-graphic-design-marketing-salary
48,165500.0,"Charlotte, NC",https://www.refinery29.com/money-diary-charlotte-nc-senior-accountant-salary
49,66000.0,"Dallas, TX",https://www.refinery29.com/money-diary-dallas-tx-project-writer-salary
50,68000.0,New York City,https://www.refinery29.com/money-diary-new-york-associate-fashion-designer-salary
51,23150.0,"Cape Town, South Africa",https://www.refinery29.com/money-diary-cape-town-south-africa-digital-account-manager-salary
52,40000.0,Massachusetts,https://www.refinery29.com/money-diary-massachusetts-copywriter-salary
53,62878.0,"Baltimore, MD",https://www.refinery29.com/money-diary-baltimore-md-senior-media-relations-representative-salary
54,270000.0,"Silicon Valley, CA",https://www.refinery29.com/money-diary-silicon-valley-deputy-director-salary
55,40000.0,"Somerville, MA",https://www.refinery29.com/money-diary-somerville-ma-food-stamps-advocate-salary
56,122500.0,London,https://www.refinery29.com/money-diary-london-lawyer-salary
57,52000.0,New York City,https://www.refinery29.com/money-diary-new-york-ny-social-worker-salary
